Comment,Designator

100 0402,R30
100 0402,R43
100 0402,R52
100 0402,R54
100 0402,R55
100 0402,R57
100 0402,R58
100k 0402,R62
100k 0402,R67
100k 0402,R68
100nF 0402,C101
100nF 0402,C106
100nF 0402,C107
100nF 0402,C108
100nF 0402,C109
100nF 0402,C113
100nF 0402,C114
100nF 0402,C12
100nF 0402,C19
100nF 0402,C2
100nF 0402,C20
100nF 0402,C3
100nF 0402,C30
100nF 0402,C31
100nF 0402,C32
100nF 0402,C38
100nF 0402,C4
100nF 0402,C40
100nF 0402,C42
100nF 0402,C43
100nF 0402,C44
100nF 0402,C5
100nF 0402,C50
100nF 0402,C52
100nF 0402,C53
100nF 0402,C54
100nF 0402,C6
100nF 0402,C63
100nF 0402,C64
100nF 0402,C65
100nF 0402,C72
100nF 0402,C73
100nF 0402,C74
100nF 0402,C80
100nF 0402,C84
100nF 0402,C85
100nF 0402,C88
100nF 0402,C89
10k 0402,R10
10k 0402,R11
10k 0402,R12
10K 0402,R14
10K 0402,R15
10K 0402,R16
10k 0402,R19
10k 0402,R20
10k 0402,R21
10k 0402,R23
10k 0402,R24
10k 0402,R26
10k 0402,R31
10k 0402,R32
10k 0402,R33
10k 0402,R34
10k 0402,R35
10k 0402,R36
10k 0402,R37
10K 0402,R38
10K 0402,R39
10K 0402,R40
10K 0402,R41
10k 0402,R44
10k 0402,R45
10k 0402,R46
10k 0402,R47
10k 0402,R48
10k 0.1% 0402,R60
10k 0.1% 0402,R63
10k 0.1% 0402,R64
10k 0.1% 0402,R66
10k 0402,R69
10k 0402,R8
10k 0402,R9
10k 0603,R61
10nF 0402,C39
10pF 0402,C11
10pF 0402,C14
10pF 0402,C15
10pF 0402,C22
10pF 0402,C23
10pF 0402,C34
10pF 0402,C35
10pF 0402,C46
10pF 0402,C47
10pF 0402,C56
10pF 0402,C57
10pF 0402,C67
10pF 0402,C68
10pF 0402,C76
10pF 0402,C77
10uH INDUCTOR_40X40,L1
10µF 0603,C10
10µF 0603,C25
10µF 0603,C28
10µF 0603,C37
10µF 0603,C49
10µF 0603,C59
10µF 0603,C60
10µF 0603,C61
10µF 0603,C79
10µF 0603,C8
10µF 0603,C81
10µF 0603,C86
10µF 0603,C87
10µF 0603,C9
12MHz 12pF ABM8G,Y1
12pF 0402,C100
12pF 0402,C102
12pF 0402,C103
12pF 0402,C104
12pF 0402,C105
12pF 0402,C17
12pF 0402,C18
12pF 0402,C70
12pF 0402,C90
12pF 0402,C91
12pF 0402,C92
12pF 0402,C93
12pF 0402,C94
12pF 0402,C95
