Designator,Center-X(Mil),Center-Y(Mil),Layer,Rotation,Comment

ANT1,-295.52,122.992,Top,270,2450AT18A100E
ANT2,847.135,1390.825,Top,135,2450AT18A100E
ANT3,2000.135,1390.825,Top,135,2450AT18A100E
ANT4,1759.825,85.135,Top,315,2450AT18A100E
ANT5,2912.825,85.135,Top,315,2450AT18A100E
ANT6,3154.135,1390.825,Top,135,2450AT18A100E
ANT7,4066.825,85.135,Top,315,2450AT18A100E
BALUN,-216.677,332.614,Top,90,2450BM14A0002T
BALUN1,1004.463,1256.686,Top,45,2450BM14A0002T
BALUN2,2157.463,1256.686,Top,45,2450BM14A0002T
BALUN3,3311.463,1256.686,Top,45,2450BM14A0002T
BALUN4,1602.497,218.274,Top,225,2450BM14A0002T
BALUN5,2755.497,218.274,Top,225,2450BM14A0002T
BALUN6,3909.497,218.274,Top,225,2450BM14A0002T
BT,-23.949,347.051,Top,180,NRF51822QFN48
BT1,1157.04,1125.48,Top,135,NRF51822QFN48
BT2,2310.04,1125.48,Top,135,NRF51822QFN48
BT3,3464.04,1125.48,Top,135,NRF51822QFN48
BT4,1449.92,349.48,Top,315,NRF51822QFN48
BT5,2602.92,349.48,Top,315,NRF51822QFN48
BT6,3756.92,349.48,Top,315,NRF51822QFN48
BTN1,866.335,869.732,Top,90,Tact Sw 4.6x2.8
BTN2,2019.335,869.732,Top,90,Tact Sw 4.6x2.8
BTN3,3173.335,865.732,Top,90,Tact Sw 4.6x2.8
BTN4,1740.626,605.228,Top,270,Tact Sw 4.6x2.8
BTN5,2893.626,605.228,Top,270,Tact Sw 4.6x2.8
BTN6,4041.644,605.246,Top,270,Tact Sw 4.6x2.8
C1,963.363,1189.597,Top,135,1nF
C2,1343.867,1136.683,Top,90,100nF
C3,302.927,683.48,Top,0,100nF
C4,216.399,1114.646,Top,90,100nF
C5,157.646,229.48,Top,0,100nF
C6,-177.52,229.315,Top,270,100nF
C7,71.787,509.48,Top,180,1nF
C8,-180.48,1154.23,Top,270,10µF
C9,-122.52,1154.23,Top,270,10µF
C10,-239.48,1154.23,Top,270,10µF
C11,11.315,1383.48,Top,180,10pF
C12,-15.52,123.315,Top,270,100nF
C13,-216.685,430.48,Top,180,47nF
C14,-133.685,48.48,Top,180,10pF
C15,-55.685,48.48,Top,180,10pF
C16,-216.685,395.48,Top,180,1nF
C17,386.48,678.315,Top,270,12pF
C18,508.52,899.685,Top,90,12pF
C19,1203.811,934.874,Top,270,100nF
C20,981.363,1038.363,Top,225,100nF
C21,1113.597,1311.597,Top,45,47nF
C22,814.48,1084.646,Top,90,10pF
C23,814.48,1001.646,Top,90,10pF
C24,1061.597,1313.597,Top,45,1nF
C25,1779.48,1442.73,Top,90,10µF
C26,1832.48,1253.646,Top,90,1uF
C27,1645.646,1377.48,Top,0,1uF
C28,1622.48,1442.73,Top,90,10µF
C29,2117.363,1189.597,Top,135,1nF
C30,2511.48,1125.646,Top,90,100nF
C31,2360.811,935.354,Top,270,100nF
C32,2146.363,1030.363,Top,225,100nF
C33,2266.597,1311.597,Top,45,47nF
C34,1960.48,1084.646,Top,90,10pF
C35,1960.48,1001.646,Top,90,10pF
C36,2214.597,1313.597,Top,45,1nF
C37,2925.48,1399.73,Top,90,10µF
C38,2712.315,1188.48,Top,180,100nF
C39,2862.48,1267.646,Top,90,10nF
C40,2822.48,1267.646,Top,90,100nF
C41,1642.597,285.363,Top,315,1nF
C42,1248.48,347.315,Top,270,100nF
C43,1398.158,534.45,Top,90,100nF
C44,1613.597,444.597,Top,45,100nF
C45,1492.363,163.363,Top,225,47nF
C46,1791.48,391.315,Top,270,10pF
C47,1791.48,473.315,Top,270,10pF
C48,1545.363,161.363,Top,225,1nF
C49,842.48,119.73,Top,90,10µF
C50,807.315,337.48,Top,180,100nF
C51,2796.597,285.363,Top,315,1nF
C52,2401.48,347.315,Top,270,100nF
C53,2549.863,534.6,Top,90,100nF
C54,2767.597,444.597,Top,45,100nF
C55,2646.363,163.363,Top,225,47nF
C56,2944.48,390.315,Top,270,10pF
C57,2944.48,472.315,Top,270,10pF
C58,2698.363,161.363,Top,225,1nF
C59,2192.48,178.23,Top,270,10µF
C60,2125.48,178.23,Top,270,10µF
C61,2059.48,178.73,Top,90,10µF
C62,3270.363,1189.597,Top,135,1nF
C63,3665.117,1113.078,Top,45,100nF
C64,3514.811,928.835,Top,270,100nF
C65,3299.363,1030.363,Top,225,100nF
C66,3420.597,1311.597,Top,45,47nF
C67,3122.48,1084.315,Top,270,10pF
C68,3122.48,1001.646,Top,90,10pF
C69,3368.597,1313.597,Top,45,1nF
C70,3864.575,564.49,Top,180,12pF
C71,3949.597,285.363,Top,315,1nF
C72,3569.907,370.443,Top,135,100nF
C73,3703.669,535.036,Top,90,100nF
C74,3921.222,444.221,Top,45,100nF
C75,3799.363,163.363,Top,225,47nF
C76,4098.48,383.315,Top,270,10pF
C77,4098.48,465.315,Top,270,10pF
C78,3852.363,161.363,Top,225,1nF
C79,4146.676,398.574,Top,90,10µF
C80,3085,44.165,Top,90,100nF
C81,1700.48,1442.73,Top,90,10µF
C82,3214.299,278.586,Top,270,8pF
C83,3258.279,460.866,Top,90,1uF
C84,3461.08,464.37,Top,90,100nF
C85,3294.395,460.866,Top,270,100nF
C86,3874.73,828.48,Top,0,10µF
C87,3610.48,859.73,Top,90,10µF
C88,3779.48,1048.315,Top,270,100nF
C89,3779.48,961.646,Top,90,100nF
C90,3354.646,906.48,Top,0,12pF
C91,3437.646,906.48,Top,0,12pF
C92,3777.883,564.49,Top,0,12pF
C93,1039.646,906.48,Top,0,12pF
C94,1125.315,906.48,Top,180,12pF
C95,2192.646,906.48,Top,0,12pF
C96,2279.315,906.48,Top,180,12pF
C97,1566.315,564.48,Top,180,12pF
C98,1484.646,564.48,Top,0,12pF
C99,2716.315,564.48,Top,180,12pF
C100,2629.646,564.48,Top,0,12pF
C101,3414.03,259.045,Top,180,100nF
C102,51.315,135.48,Top,180,12pF
C103,133.646,135.48,Top,0,12pF
C104,302.927,599.165,Top,0,12pF
C105,31.699,620,Top,90,12pF
C106,52.533,683.48,Top,180,100nF
C107,407.315,920.52,Top,0,100nF
C108,-50.055,938.52,Top,180,100nF
C109,173.748,1114.646,Top,90,100nF
C110,124.097,1123.73,Top,90,2.2uF
C111,3183,43.835,Top,270,1uF
C112,3190,135,Top,180,1uF
C113,3116.961,373.795,Top,270,100nF
C114,-45.055,832,Top,0,100nF
R72,-210.52,990.746,Top,90,0R
D2,3937.48,1355.23,Top,270,SD0603S040S0R2
FM1,0,0,Top,90,FIDUCIAL MARK
FM2,453,1475,Top,90,FIDUCIAL MARK
FM3,-13,1475,Top,90,FIDUCIAL MARK
FM4,1144,1475,Top,90,FIDUCIAL MARK
FM5,2307,1475,Top,90,FIDUCIAL MARK
FM6,4142.039,1475,Top,90,FIDUCIAL MARK
FM7,840,1,Top,90,FIDUCIAL MARK
FM8,2030,7,Top,90,FIDUCIAL MARK
FM9,4142.039,516.55,Top,90,FIDUCIAL MARK
IC2,3850.244,1044.921,Top,90,PCA9306
IC3,1464.78,1099.48,Top,0,ZXLD383
L1,-263.52,1300.675,Top,270,10uH
L2,1464.165,1210.48,Top,180,47uH
LED1,13.543,1243.921,Top,180,YELLOW
LED2,193.961,158.835,Top,270,YELLOW
LED3,1224.315,843.48,Top,180,YELLOW
LED4,-314.52,1122.931,Top,180,YELLOW
LED5,468.48,899.685,Top,90,YELLOW
LED6,1655.48,1273.063,Top,270,SFH4441
LED7,2381.315,843.48,Top,180,YELLOW
LED8,1377.646,631.48,Top,0,YELLOW
LED9,2527.646,631.48,Top,0,YELLOW
LED10,2003.898,326.48,Top,0,SFH4441
LED11,3535.315,828.48,Top,180,YELLOW
LED12,3682.834,632.485,Top,0,YELLOW
LED13,1625.937,1135.48,Top,0,White
PGM,346.732,1296.626,Top,0,Tact Sw 4.6x2.8
PWR1,-102.835,1300.675,Top,90,LTC4081DFN
R1,12.835,1289.961,Top,180,95k3
R2,11.646,1336.48,Top,0,300k
R3,-66.52,1169.646,Top,90,2k94
R4,-22.52,1169.646,Top,270,750
R5,1224.646,881.48,Top,0,470
R6,1793.48,1253.315,Top,270,22
R7,133.646,182.48,Top,0,220
R8,-314.065,891.129,Top,0,10k
R9,1814.646,1034.48,Top,0,10k
R10,1814.646,995.48,Top,0,10k
R11,31.699,1114.646,Top,90,10k
R12,1791.646,1318.48,Top,0,10k
R13,-314.52,1076.52,Top,180,470
R14,523.48,48.315,Top,270,10K
R15,511.48,414.646,Top,90,10K
R16,280.144,1114.646,Top,90,10K
R17,407.315,877.852,Top,180,470
R18,2381.646,881.48,Top,0,470
R19,2854.48,1030.315,Top,270,10k
R20,2893.48,1030.315,Top,270,10k
R21,2783.48,1267.646,Top,90,10k
R22,1377.323,591.49,Top,180,470
R23,980.48,219.315,Top,270,10k
R24,929.48,219.315,Top,270,10k
R25,2527.654,591.49,Top,180,470
R26,2163.646,410.48,Top,0,10k
R27,1976.48,132.992,Top,270,20 0.2W
R28,3535.646,871.48,Top,0,470
R29,3682.834,592.486,Top,180,470
R30,73.931,1114.646,Top,270,100
R31,-216.354,465.48,Top,0,10k
R32,1228.48,1336.315,Top,270,10k
R33,3534.48,1352.315,Top,270,10k
R34,1377.48,139.646,Top,90,10k
R35,2381.48,1336.315,Top,270,10k
R36,3685.497,139.664,Top,90,10k
R37,2531.48,139.646,Top,90,10k
R38,618.48,48.315,Top,270,10K
R39,570.48,48.315,Top,270,10K
R40,302.927,641.323,Top,0,10K
R41,464.48,414.646,Top,90,10K
R42,-314.52,1030.108,Top,0,10k
R43,3650.356,498.714,Top,315,100
R44,3860.315,938.48,Top,180,10k
R45,3860.315,899.48,Top,180,10k
R46,3901.48,1210.646,Top,90,10k
R47,3860.315,1158.48,Top,180,10k
R48,3779.48,1143.646,Top,90,10k
R49,3885.48,1363.646,Top,90,4k7
R50,3842.48,1363.315,Top,270,4k7
R51,-314.52,983.696,Top,180,3k74
R52,-50.055,772.48,Top,0,100
R53,-314.538,937.285,Top,0,0R
R54,1253.536,963.015,Top,90,100
R55,2420.015,972.5,Top,135,100
R57,1345.013,497.229,Top,315,100
R58,2497.781,497.29,Top,315,100
R59,3258.968,236.501,Top,270,1M
R60,3193.134,385.669,Top,0,10k 0.1%
R61,3249.982,341.315,Top,0,10k
R62,3214.299,194.827,Top,270,100k
R63,3105.834,120,Top,0,10k 0.1%
R64,3276.126,385.669,Top,0,10k 0.1%
R65,3318.16,524.08,Top,180,1M
R66,3190,103,Top,180,10k 0.1%
R67,3353.772,237.917,Top,90,100k
R68,3312.276,237.917,Top,90,100k
R69,1790.795,952,Top,180,10k
R70,-156,792.165,Top,90,22
R71,-117.52,792.165,Top,90,22
RST,157.732,1296.626,Top,0,Tact Sw 4.6x2.8
SENSE1,952.905,337.795,Top,0,HTU21D
SENSE2,2830.024,1149.024,Top,180,MPU6500QFN
SENSE3,1783.685,1133.228,Top,270,TCS37717FN
T1,2185.181,326.165,Top,180,AO3418
T2,1649.165,1009.779,Top,90,AO3418
U1,177.777,888.006,Top,0,MK24FN1M0VDC12
U2,3157.403,460.247,Top,270,SPQ0410HR5H-B
U3,3380.395,391.324,Top,90,LTC1966
U4,3132.412,236.917,Top,0,TLV2760
U5,3134,44,Top,180,TPS22924C
USB,-258.02,658.299,Top,270,USB MICRO AB
VREG2,3724.48,863.78,Top,90,MCP1801T-3302
X1,1077.992,843.48,Top,180,32.768 KHz
X2,2231.992,843.48,Top,180,32.768 KHz
X3,3384.992,843.48,Top,180,32.768 KHz
X4,1527.968,631.48,Top,0,32.768 KHz
X5,2677.968,631.48,Top,0,32.768 KHz
X6,3826.22,631.48,Top,0,32.768 KHz
X7,105.992,68.48,Top,180,32.768 KHz
X8,156.488,620,Top,0,32.768 KHz
Y1,447.27,789.27,Top,0,12MHz 12pF
Y2,-110.787,121.276,Top,180,16MHz 10pF
Y3,893.276,1056.748,Top,90,16MHz 10pF
Y4,2047.276,1056.748,Top,90,16MHz 10pF
Y5,1712.685,418.213,Top,270,16MHz 10pF
Y6,2866.685,418.213,Top,270,16MHz 10pF
Y7,3200.276,1056.748,Top,90,16MHz 10pF
Y8,4019.685,418.213,Top,270,16MHz 10pF
